"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"2528","0.5",32,1,1,"ImmediateRec",10,0.899311617650196,0.622353343346035
"2529","0.1",33,0,1,"DelayedRec",10,0.343212272823122,0.302980940832387
"2530","0.5",34,0,0,"DelayedRec",10,-0.307820814345272,0.712569306565438
"2535","0.5",39,0,0,"ImmediateRec",10,-0.0791653185894571,0.73821390273327
"2536","0.9",40,0,0,"ImmediateRec",10,-0.796680294120002,0.909217777575796
"2538","0.9",42,0,0,"ImmediateRec",10,-0.855693760613184,0.884187510153818
"2539","0.5",43,1,1,"ImmediateRec",10,0.968718402349645,0.747241558605758
"2540","0.9",44,1,0,"ImmediateRec",10,-0.613186248668753,0.852187761315917
"2541","0.5",45,0,0,"DelayedRec",10,-0.182353727976029,0.681281374924185
"2543","0.5",47,1,0,"ImmediateRec",10,-0.140353413048699,0.710247237109319
"2545","0.5",49,0,0,"ImmediateRec",10,-0.0312815976503555,0.689223375995382
"2547","0.5",51,1,0,"ImmediateRec",10,-0.150707137923229,0.69908179410826
"2548","0.5",52,1,1,"ImmediateRec",10,0.989022024611457,0.684796193509326
"2550","0.5",54,1,0,"ImmediateRec",10,-0.0892792402338096,0.670013649176212
"2553","0.1",57,1,1,"ImmediateRec",10,0.0526539653876137,0.171316997319626
"2555","0.1",59,1,1,"DelayedRec",10,0.262761818819368,0.258733852927406
"2558","0.1",62,1,1,"ImmediateRec",10,0.031192324994574,0.143121494633825
"2560","0.5",64,0,0,"DelayedRec",10,-0.0609317000669079,0.674736842545946
"2562","0.5",66,1,0,"ImmediateRec",10,-0.0492556784141479,0.73211573709666
"2563","0.9",67,1,0,"ImmediateRec",10,-0.880191603778893,0.86610904757625
"2566","0.9",70,0,0,"DelayedRec",10,-0.9857776047951,0.923759503541202
"2567","0.5",71,1,0,"ImmediateRec",10,-0.129094511517386,0.760724196553094
"2571","0.1",75,1,1,"DelayedRec",10,0.185312250482426,0.262446978040733
"2573","0.5",77,1,0,"DelayedRec",10,-0.0185312873033666,0.69531153576228
"2574","0.1",78,1,1,"DelayedRec",10,0.185699863192748,0.169892500564216
"2578","0.9",82,1,0,"DelayedRec",10,-0.889990992292505,0.977166332810929
"2579","0.9",83,1,0,"DelayedRec",10,-0.857369481152791,0.858964203648079
"2580","0.1",84,1,1,"DelayedRec",10,0.314994682383068,0.215714487601511
