"","X","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"284",997,12,4,"stim/21.jpeg",2,"Music items",45,55,25,12.27200007,0,50,1
"285",992,12,4,"stim/31.jpeg",3,"Household items",65,75,10,11.93600011,0,70,1
"286",994,12,4,"stim/41.jpeg",4,"Household items",65,75,87,18.671,0,70,1
"287",995,12,4,"stim/51.jpeg",5,"Music items",5,15,65,13.69500017,0,10,1
"288",996,12,4,"stim/61.jpeg",6,"Household items",5,15,42,11.329,0,10,1
"289",252,13,1,"stim/11.jpeg",1,"Music items",45,55,40,6.417999983,0,50,1
"290",251,13,1,"stim/21.jpeg",2,"Household items",45,55,40,10.48099995,0,50,1
"291",256,13,1,"stim/31.jpeg",3,"Music items",65,75,30,11.83800006,0,70,1
"292",253,13,1,"stim/41.jpeg",4,"Music items",65,75,50,2.616000175,0,70,1
"293",255,13,1,"stim/51.jpeg",5,"Household items",5,15,94,12.05999994,0,10,1
"294",254,13,1,"stim/61.jpeg",6,"Music items",5,15,97,5.562999964,0,10,1
"295",502,13,2,"stim/11.jpeg",1,"Music items",45,55,50,8.403000116,2,50,1
"296",501,13,2,"stim/21.jpeg",2,"Household items",45,55,30,9.671000004,1,50,1
"297",499,13,2,"stim/31.jpeg",3,"Music items",65,75,10,6.882000208,1,70,1
"298",498,13,2,"stim/41.jpeg",4,"Music items",65,75,70,10.44900012,1,70,1
"299",503,13,2,"stim/51.jpeg",5,"Household items",5,15,97,4.98300004,2,10,1
"300",500,13,2,"stim/61.jpeg",6,"Music items",5,15,98,4.931999922,1,10,1
